City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
70275,wysokie mazowieckie,71,PL,1612588532,88,52.9166,22.5171,PL,3.13
1007,yellowknife,20,CA,1612588850,74,62.456,-114.3525,CA,2.06
8303,ushuaia,75,AR,1612588847,93,-54.8,-68.3,AR,7.72
1973,port elizabeth,75,ZA,1612588729,88,-33.918,25.5701,ZA,2.06
2061,mahebourg,75,MU,1612588604,94,-20.4081,57.7,MU,3.09
8669,cayenne,90,GF,1612588880,100,4.9333,-52.3333,GF,2.57
2033165,soto la marina,22,MX,1612588880,91,23.7667,-98.2167,MX,0.61
4441,huntsville,1,US,1612588627,80,34.7304,-86.5861,US,1.08
1966,bredasdorp,0,ZA,1612588840,94,-34.5322,20.0403,ZA,0.51
7271,avarua,20,CK,1612588834,78,-21.2078,-159.775,CK,1.54
7649,barrow,90,US,1612588642,77,71.2906,-156.7887,US,2.57
7729,juneau,90,US,1612588748,80,58.3019,-134.4197,US,1.54
7881,hilo,1,US,1612588645,56,19.7297,-155.09,US,3.09
8926,nikolskoye,75,RU,1612588727,85,59.7035,30.7861,RU,6
8772,bathsheba,40,BB,1612588470,65,13.2167,-59.5167,BB,8.75
2006131,hermanus,3,ZA,1612588830,94,-34.4187,19.2345,ZA,1.65
2005401,victor harbor,61,AU,1612588886,79,-35.5667,138.6167,AU,4.47
9218,madras,20,IN,1612588887,51,13.0878,80.2785,IN,3.09
7873,kapaa,20,US,1612588831,68,22.0752,-159.319,US,3.6
9525,esperance,90,AU,1612588622,72,-33.8667,121.9,AU,6.69
8491,coihaique,0,CL,1612588843,55,-45.5752,-72.0662,CL,3.6
8691,pisco,0,PE,1612588631,88,-13.7,-76.2167,PE,1.54
1364,naantali,20,FI,1612588889,85,60.4674,22.0243,FI,2.06
8487,punta arenas,0,CL,1612588808,75,-53.15,-70.9167,CL,2.57
9545,hobart,20,AU,1612588820,38,-42.8794,147.3294,AU,8.75
1912,east london,90,ZA,1612588614,100,-33.0153,27.9116,ZA,2.57
9520,cooma,75,AU,1612588893,43,-36.2333,149.1333,AU,6.69
7285,vaini,75,TO,1612588733,94,-21.2,-175.2,TO,2.06
2018289,burnie,42,AU,1612588894,85,-41.0667,145.9167,AU,2.24
8872,anadyr,40,RU,1612588368,85,64.75,177.4833,RU,5
797,iqaluit,40,CA,1612588839,79,63.7506,-68.5145,CA,6.17
8854,kangalassy,100,RU,1612588897,67,62.3464,129.9628,RU,1
7668,kodiak,1,US,1612588832,44,57.79,-152.4072,US,9.77
9218,mamallapuram,20,IN,1612588898,51,12.6264,80.1722,IN,3.09
9505,carnarvon,75,AU,1612588727,70,-24.8667,113.6333,AU,8.75
6160,springdale,1,US,1612588498,52,36.1867,-94.1288,US,1.54
9594,ulladulla,75,AU,1612588474,100,-35.35,150.4667,AU,3.09
5325,pecos,1,US,1612588901,20,31.4229,-103.4932,US,2.06
3273,albany,75,US,1612588811,80,42.6001,-73.9662,US,4.12
2127,saint-philippe,20,RE,1612588765,69,-21.3585,55.7679,RE,2.06
2008303,busselton,100,AU,1612588717,66,-33.65,115.3333,AU,1.34
165,ilulissat,20,GL,1612588862,37,69.2167,-51.1,GL,2.06
9429,georgetown,20,MY,1612588857,52,5.4112,100.3354,MY,2.06
2005652,puerto ayora,21,EC,1612588830,98,-0.7393,-90.3518,EC,2.68
2035706,bardstown,37,US,1612588906,67,37.8092,-85.4669,US,1.7
8452,touros,0,BR,1612588907,88,-5.1989,-35.4608,BR,1.03
4588,jamestown,90,US,1612588831,86,42.097,-79.2353,US,4.12
2000079,nynashamn,78,SE,1612588907,66,58.9034,17.9479,SE,6.32
7487,tabas,32,IR,1612588911,18,33.5959,56.9244,IR,1.03
5093,jacksonville,90,US,1612588912,82,30.3322,-81.6556,US,4.12
3705,san patricio,90,US,1612588778,88,28.017,-97.5169,US,6.69
6900,barcelos,75,PT,1612588569,76,41.5388,-8.6151,PT,7.2
9600,sidney,75,AU,1612588656,78,-33.8679,151.2073,AU,7.2
7318,teahupoo,75,PF,1612588916,65,-17.8333,-149.2667,PF,3.09
8340,boa vista,0,BR,1612588789,73,2.8197,-60.6733,BR,4.12
1918,knysna,90,ZA,1612588916,94,-34.0363,23.0471,ZA,1.54
942,tuktoyaktuk,75,CA,1612588840,68,69.4541,-133.0374,CA,3.6
8305,mar del plata,0,AR,1612588734,72,-38.0023,-57.5575,AR,5.14
4891,mitchell,1,US,1612588920,66,43.7094,-98.0298,US,7.2
2011314,port alfred,99,ZA,1612588596,92,-33.5906,26.891,ZA,6.12
